"index","category","product_name","product_total_sales","product_total_profit","product_rank"
"0","Furniture","Hon Executive Leather Armchair, Adjustable","58193.48","5997.25","1"
"1","Furniture","Office Star Executive Leather Armchair, Adjustable","51449.8","4925.8","2"
"2","Furniture","Harbour Creations Executive Leather Armchair, Adjustable","50121.52","10427.33","3"
"3","Furniture","SAFCO Executive Leather Armchair, Black","41923.53","7154.28","4"
"4","Furniture","Novimex Executive Leather Armchair, Adjustable","40585.13","5562.35","5"
"5","Office Supplies","Eldon File Cart, Single Width","39873.23","5571.26","1"
"6","Office Supplies","Hoover Stove, White","32842.6","-2180.63","2"
"7","Office Supplies","Hoover Stove, Red","32644.13","11651.68","3"
"8","Office Supplies","Rogers File Cart, Single Width","29558.82","2368.82","4"
"9","Office Supplies","Smead Lockers, Industrial","28991.66","3630.44","5"
"10","Technology","Apple Smart Phone, Full Size","86935.78","5921.58","1"
"11","Technology","Cisco Smart Phone, Full Size","76441.53","17238.52","2"
"12","Technology","Motorola Smart Phone, Full Size","73156.3","17027.11","3"
"13","Technology","Nokia Smart Phone, Full Size","71904.56","9938.2","4"
"14","Technology","Canon imageCLASS 2200 Advanced Copier","61599.82","25199.93","5"